roi,i2c2_m,i2c2_r,i2c2_diff,i2c2_p,i2c2_m_better,discr_m,discr_r,discr_diff,discr_p,discr_m_better,finger_m,finger_r,finger_diff,finger_p,finger_m_better
15,0.427463449,0.354855701,0.072607748,0.823063823,0,0.956241505,0.910019538,0.046221967,0.078003488,0,0.605504587,0.495412844,0.110091743,0.387449045,0
16,0.376998345,0.283290442,0.093707902,0.797118214,0,0.898615358,0.822815327,0.075800032,0.045178808,1,0.403669725,0.275229358,0.128440367,0.274113953,0
17,0.427336595,0.412165163,0.015171432,0.989002522,0,0.934038396,0.900782983,0.033255413,0.394732075,0,0.596330275,0.449541284,0.146788991,0.141713043,0
18,0.476991505,0.400718803,0.076272701,0.874906042,0,0.949307679,0.804904847,0.144402832,0,1,0.642201835,0.174311927,0.467889908,0,1
19,0.35897343,0.325521463,0.033451967,0.989002522,0,0.925617992,0.812181448,0.113436544,0,1,0.651376147,0.376146789,0.275229358,0,1
20,0.466373667,0.410116519,0.056257148,0.95294041,0,0.935185185,0.819635576,0.115549609,0,1,0.577981651,0.302752294,0.275229358,0,1
21,0.480568297,0.396687781,0.083880516,0.873078182,0,0.941970353,0.822537976,0.119432378,0,1,0.541284404,0.293577982,0.247706422,0,1
22,0.419560038,0.352717301,0.066842738,0.932280315,0,0.930491845,0.777063065,0.15342878,0,1,0.458715596,0.165137615,0.293577982,0,1
23,0.237591271,0.314249632,-0.076658361,0.927633065,0,0.877122803,0.76911589,0.108006912,0,1,0.28440367,0.256880734,0.027522936,0.93234,0
24,0.251549539,0.350656419,-0.09910688,0.851218384,0,0.644883939,0.684886499,-0.04000256,0.56420403,0,0.027522936,0.036697248,-0.009174312,0.906388136,0
25,0.575725104,0.429744567,0.145980537,0.303747292,0,0.969440197,0.888124363,0.081315834,0,1,0.733944954,0.467889908,0.266055046,0,1
26,0.298534275,0.269943565,0.028590711,0.989002522,0,0.913509131,0.886372324,0.027136807,0.614579856,0,0.541284404,0.385321101,0.155963303,0.056148148,0
27,0.305939122,0.39901771,-0.093078587,0.880513953,0,0.931910309,0.871134896,0.060775413,0.112477419,0,0.467889908,0.412844037,0.055045872,0.763444991,0
28,0.404940884,0.348493717,0.056447166,0.941922264,0,0.968958013,0.854676351,0.114281663,0,1,0.688073394,0.440366972,0.247706422,0,1
29,0.379140591,0.362686172,0.016454419,0.990688372,0,0.93681729,0.890332994,0.046484296,0.185777679,0,0.504587156,0.550458716,-0.04587156,0.846433333,0
30,0.29773259,0.308635203,-0.010902613,1,0,0.918535508,0.883213859,0.035321649,0.495744598,0,0.532110092,0.495412844,0.036697248,0.93234,0
31,0.290796394,0.327625402,-0.036829008,0.988031355,0,0.8682369,0.844833078,0.023403822,0.798285315,0,0.321100917,0.376146789,-0.055045872,0.765280226,0
32,0.364752328,0.314715413,0.050036915,0.932280315,0,0.904868578,0.869676993,0.035191586,0.56420403,0,0.348623853,0.385321101,-0.036697248,0.927633065,0
33,0.360366384,0.325936563,0.034429821,0.974646977,0,0.88472647,0.876486578,0.008239891,0.975881336,0,0.339449541,0.467889908,-0.128440367,0.313876056,0
34,0.301604333,0.294023585,0.007580749,1,0,0.89005163,0.864753228,0.025298402,0.750153516,0,0.348623853,0.431192661,-0.082568807,0.657328125,0
35,0.284526656,0.308854095,-0.024327439,0.989002522,0,0.903521067,0.876157407,0.02736366,0.700074236,0,0.412844037,0.458715596,-0.04587156,0.89457069,0
36,0.249653281,0.404985926,-0.155332645,0.750153516,0,0.639294248,0.68958121,-0.050286961,0.349438,0,0.036697248,0.036697248,0,1,0
37,0.313952209,0.404522137,-0.090569928,0.919706667,0,0.847680918,0.813854753,0.033826165,0.621308531,0,0.183486239,0.275229358,-0.091743119,0.413262539,0
38,0.325904161,0.439843954,-0.113939793,0.846794286,0,0.921701656,0.877782025,0.04391963,0.306949823,0,0.467889908,0.449541284,0.018348624,0.989002522,0
39,0.29874244,0.307720193,-0.008977753,1,0,0.784764892,0.73603644,0.048728452,0.34978804,0,0.082568807,0.165137615,-0.082568807,0.253569048,0
40,0.283918533,0.354237611,-0.070319078,0.944954478,0,0.750096006,0.739264781,0.010831225,0.95294041,0,0.073394495,0.100917431,-0.027522936,0.866787037,0
